paper_id,title,path,pdf_status,included_in_review,abstract_snippet,exclusion_reason,exclusion_stage
10.1109/WRCSARA57040.2022.9903976,Two-Stage Multi-Organ Automatic Segmentation with Low GPU Memory Occupancy,10.1109_WRCSARA57040.2022.9903976.pdf,available,True,,,
10.1109/TMI.2018.2806309,Automatic Multi-Organ Segmentation on Abdominal CT With Dense V-Networks,10.1109_TMI.2018.2806309.pdf,available,True,,,
http://arxiv.org/abs/2302.13172v1,Deep Learning-based Multi-Organ CT Segmentation with Adversarial Data Augmentation,http___arxiv.org_abs_2302.13172v1.pdf,available,True,,,
arXiv:1908.00360,A Method of Rapid Quantification of Patient-Specific Organ Dose for CT Using Coupled Deep Multi-Organ Segmentation Algorithms and GPU-accelerated Monte Carlo Dose Computing Code,arXiv_1908.00360.pdf,available,True,,,
arXiv:1704.06382,Hierarchical 3D fully convolutional networks for multi-organ segmentation,arXiv_1704.06382.pdf,available,True,,,
10.1109/SPS.2019.8882073,Segmentation of Organs at Risk in Chest Cavity Using 3D Deep Neural Network,10.1109_SPS.2019.8882073.pdf,available,True,,,
http://arxiv.org/abs/1710.05379v1,Towards Automatic Abdominal Multi-Organ Segmentation in Dual Energy CT using Cascaded 3D Fully Convolutional Network,http___arxiv.org_abs_1710.05379v1.pdf,available,True,,,
http://arxiv.org/abs/2210.04285v1,Improved Abdominal Multi-Organ Segmentation via 3D Boundary-Constrained Deep Neural Networks,http___arxiv.org_abs_2210.04285v1.pdf,available,True,,,
10.1002/mp.14386,CT-based Multi-organ Segmentation using a 3D Self-attention U-Net Network for Pancreatic Radiotherapy.,10.1002_mp.14386.pdf,available,True,,,
10.1038/s41598-020-63285-0,Abdominal multi-organ auto-segmentation using 3D-patch-based deep convolutional neural network,10.1038_s41598-020-63285-0.pdf,available,True,,,
10.1002/mp.13950,Automatic Multi-organ Segmentation in Dual Energy CT (DECT) with Dedicated 3D Fully Convolutional DECT Networks.,10.1002_mp.13950.pdf,available,True,,,
http://arxiv.org/abs/2503.10717v1,Deep Learning-Based Automated Workflow for Accurate Segmentation and Measurement of Abdominal Organs in CT Scans,http___arxiv.org_abs_2503.10717v1.pdf,available,True,,,
10.1007/978-3-319-67558-9_26,3D FCN Feature Driven Regression Forest-Based Pancreas Localization and Segmentation,10.1007_978-3-319-67558-9_26.pdf,available,True,,,
10.1088/1361-6560/aaf11c,Fully Automated Organ Segmentation in Male Pelvic CT Images,10.1088_1361-6560_aaf11c.pdf,available,True,,,
10.1109/ACCESS.2020.3024277,Automatic Segmentation Using a Hybrid Dense Network Integrated With an 3D-Atrous Spatial Pyramid Pooling Module for Computed Tomography (CT) Imaging,10.1109_ACCESS.2020.3024277.pdf,available,True,,,
10.11409/mit.36.63,Deep learning and its application to medical image segmentation,10.11409_mit.36.63.pdf,available,True,,,
http://arxiv.org/abs/1801.05912v1,On the influence of Dice loss function in multi-class organ segmentation of abdominal CT using 3D fully convolutional networks,http___arxiv.org_abs_1801.05912v1.pdf,available,True,,,
http://arxiv.org/abs/1909.06684v1,3D Kidneys and Kidney Tumor Semantic Segmentation using Boundary-Aware Networks,http___arxiv.org_abs_1909.06684v1.pdf,available,True,,,
10.1002/mp.14422,Complete Abdomen and Pelvis Segmentation using U-Net Variant Architecture.,10.1002_mp.14422.pdf,available,True,,,
http://arxiv.org/abs/2212.13034v1,Kidney and Kidney Tumour Segmentation in CT Images,http___arxiv.org_abs_2212.13034v1.pdf,available,True,,,
10.1109/ICIEAM48468.2020.9111950,Hybrid 3D-ResNet Deep Learning Model for Automatic Segmentation of Thoracic Organs at Risk in CT Images,10.1109_ICIEAM48468.2020.9111950.pdf,available,True,,,
10.2214/AJR.20.24415,"Liver Steatosis Categorization on Contrast-Enhanced CT Using a Fully-Automated Deep Learning Volumetric Segmentation Tool: Evaluation in 1,204 Heathy Adults Using Unenhanced CT as Reference Standard.",10.2214_AJR.20.24415.pdf,available,True,,,
10.1016/j.compmedimag.2018.03.001,An application of cascaded 3D fully convolutional networks for medical image segmentation,10.1016_j.compmedimag.2018.03.001.pdf,available,True,,,
10.48550/arXiv.2406.13674,Rethinking Abdominal Organ Segmentation (RAOS) in the clinical scenario: A robustness evaluation benchmark with challenging cases,10.48550_arXiv.2406.13674.pdf,available,True,,,
http://arxiv.org/abs/1811.11226v1,"CT organ segmentation using GPU data augmentation, unsupervised labels and IOU loss",http___arxiv.org_abs_1811.11226v1.pdf,available,True,,,
10.1002/mp.15525,Evaluating the clinical acceptability of deep learning contours of prostate and organs-at-risk in an automated prostate treatment planning process.,10.1002_mp.15525.pdf,available,True,,,
10.1002/mp.12480,Deep learning of the sectional appearances of 3D CT images for anatomical structure segmentation based on an FCN voting method,10.1002_mp.12480.pdf,available,True,,,
10.1002/mp.15083,Multitask 3D CBCT-to-CT Translation and Organs-at-Risk Segmentation Using Physics-Based Data Augmentation,10.1002_mp.15083.pdf,available,True,,,
arXiv:1809.04430,Deep learning to achieve clinically applicable segmentation of head and neck anatomy for radiotherapy,arXiv_1809.04430.pdf,available,True,,,
10.1007/s00330-020-07608-9,Automated segmentation of kidney and renal mass and automated detection of renal mass in CT urography using 3D U-Net-based deep convolutional neural network,10.1007_s00330-020-07608-9.pdf,available,True,,,
10.1186/s13014-022-01985-9,Dosimetric impact of deep learning-based CT auto-segmentation on radiation therapy treatment planning for prostate cancer,10.1186_s13014-022-01985-9.pdf,available,True,,,
http://arxiv.org/abs/2003.07923v1,3D medical image segmentation with labeled and unlabeled data using autoencoders at the example of liver segmentation in CT images,http___arxiv.org_abs_2003.07923v1.pdf,available,True,,,
10.1186/s41747-024-00507-4,Segmentation-based quantitative measurements in renal CT imaging using deep learning.,10.1186_s41747-024-00507-4.pdf,available,True,,,
